"id","title","band","model","variant","fuelType","bodytype","tramsmission","seating","year","milage","color","image","place","price"
"53512","2017 Toyota Kijang Innova 2.4 V MPV","Toyota","Kijang Innova","V","Solar","MPV","Automatic","8","2017","60000","Hitam","https://img5.icarcdn.com/5676756/thumb-l_used-car-mobil123-toyota-kijang-innova-v-mpv-indonesia_5676756_aKzkuUFodSkGj6Hcny2706.jpg?smia=xTM","Sidoarjo","325000000"
"39151","2016 Suzuki Ertiga 1.4 GL MPV","Suzuki","Ertiga","GL","Pertamax","MPV","Manual","7","2016","37500","Hitam","https://img4.icarcdn.com/7282356/thumb-l_used-car-mobil123-suzuki-ertiga-gl-mpv-indonesia_7282356_fJcYsBaDQYunyDzeZ8zacH.jpeg?smia=xTM","Bojonegoro","155000000"
"24322","2012 Mercedes-Benz E300 3.0 Avantgarde AMG Sedan","Mercedes-Benz","E300","Avantgarde AMG","Pertamax","Sedan","Automatic","5","2012","76000","Hitam","https://img4.icarcdn.com/2575756/thumb-l_used-car-mobil123-mercedes-benz-e-class-e300-avantgarde-amg-sedan-indonesia_2575756_BfyfgJD6JeYHfnJBDRR9Fv.jpg?smia=xTM","Jakarta Utara","385000000"
"38090","2009 Honda Jazz 1.5 RS Hatchback","Honda","Jazz","RS","Pertamax","Hatchback","Automatic","5","2009","101000","Silver","https://img1.icarcdn.com/1774646/thumb-l_used-car-mobil123-honda-jazz-rs-hatchback-indonesia_1774646_fWVuCVH3NRR1BLOnZHqSEd.jpg?smia=xTM","Probolinggo","125000000"
"48940","2013 Ford Ranger 2.2 Base Pick-up","Ford","Ranger","Base","Solar","Pick-up","Manual","2","2013","171","Putih","https://img2.icarcdn.com/2599446/thumb-l_used-car-mobil123-ford-ranger-base-pick-up-indonesia_2599446_ct6VjRb4JzU753MTbCIlIE.jpg?smia=xTM","Surabaya","130000000"
"7626","2013 Honda CR-V 2.4 2.4 Prestige SUV","Honda","CR-V","2.4 Prestige","Pertamax","SUV","Automatic","5","2013","62500","Abu-abu","https://img4.icarcdn.com/2524656/thumb-l_used-car-mobil123-honda-cr-v-2.4-prestige-suv-indonesia_2524656_q9lle2EZQDymrML1ycx4lJ.jpg?smia=xTM","Jakarta Utara","213000000"
"6269","2013 Nissan Juke 1.5 RX SUV","Nissan","Juke","RX","Pertamax","SUV","Automatic","5","2013","250","Putih","https://img2.icarcdn.com/0128936/thumb-l_used-car-mobil123-nissan-juke-rx-suv-indonesia_0128936_9Uoy2ewjVx0LLVCvI8RDww.jpg?smia=xTM","Jepara","139000000"
"24018","2017 Honda Jazz 1.5 RS Hatchback","Honda","Jazz","RS","Pertamax","Hatchback","Automatic","5","2017","25000","Kuning","https://img4.icarcdn.com/6777826/thumb-l_used-car-mobil123-honda-jazz-rs-hatchback-indonesia_6777826_gBvNcLt3uB9xf0bPXUDBoi.jpg?smia=xTM","Jakarta Utara","225000000"
"19389","2017 Suzuki Ignis 1.2 GX Hatchback","Suzuki","Ignis","GX","Pertamax","Hatchback","Automatic","5","2017","77500","Biru","https://img5.icarcdn.com/6159836/thumb-l_used-car-mobil123-suzuki-ignis-gx-hatchback-indonesia_6159836_dwQVoEk93fFJpbGTG3iCD3.jpeg?smia=xTM","Surabaya","140000000"
"7039","2014 Honda Brio 1.2 Satya E Hatchback","Honda","Brio","Satya E","Pertamax","Hatchback","Manual","5","2014","60000","Abu-abu","https://img4.icarcdn.com/1711556/thumb-l_used-car-mobil123-honda-brio-satya-e-hatchback-indonesia_1711556_0siwsJLODhQgJ88GcDjqOR.jpg?smia=xTM","Jakarta Barat","97500000"
